,comments
1043,Grande Ronde Acc
1044,Hammer Cr. (Salmon R) Idaho
1045,HANFORD REACH WILD FALL CHINOOK >60 MM
1046,HANFORD REACH WILD FALL CHINOOK 48-60 MM
1047,HANFORD REACH WILD FALL CHINOOK 60-80 MM
1048,HATCHERY OF ORIGIN IN MCKENZIE                                        ENGELKING
1049,HATCHERY OF ORIGIN IS KLASKANINE AND SF KLASKANINE                     ENGELKING
1050,HATCHERY OF ORIGIN IS KLASKANINE/SF KLASKANINE                        HME
1051,hatchery of origin is Leaburg; FLR 155735 all fish otolith marked; hme
1052,HATCHERY OF ORIGIN IS MCKENZIE
1053,HATCHERY OF ORIGIN IS MCKENZIE                                              HME
1054,HATCHERY OF ORIGIN IS MCKENZIE HATCHERY
1055,HATCHERY OF ORIGIN IS SF KLASKANINE     FISH HEALTHY AND SMOLTED     ENGELKING
1056,"HATCHERY OF ORIGIN IS SF KLASKANINE;100% SMOLTED,SHEDDING SCALES;HEALTHY    MARK"
1057,HATCHERY RELEASE                                                   ENGELKING
1058,High Fat - Low Ration. Direct fr Bonneville pond A12 at 1500hr FLR 156843 156865
1059,High Fat - Low Ration. Pendleton Acc pond 4. 0800. FLR 166575.
1060,high salinity group 20pt@600FPP
1061,IDAHO POWER COMPANY MITIGATION RELEASE IN SNAKE RIVER; MARK SUCHY      ENGELKING
1062,Imeques
1063,Imeques Acc.  50/50 Feb/April release - ice emergency in Feb.
1064,Immediate transfer to Mcallister
1065,includes 8122ADCWT 10380AD released 9/30/2022 40.69fpp rest at 20.0fpp 4/1/2023
1066,INDEX STOCK;                                                        ENGELKING
1067,JACK CREEK PARR STUDY.
1068,JCJ01 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1069,JCJ02 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1070,JCJ03 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1071,JCJ04 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1072,JCJ05 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1073,JCJ06 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1074,late
1075,Late
1076,"late lot, late release"
1077,late release
1078,Late release
1079,Late Release
1080,LATE RELEASE GROUP (CWT 638273). RELEASED AT CHAMBERS BAY INTO FLOOD TIDE (13.34' HIGH). FISH SMOLTING HEAVILY LEADING TO RELEASE AND OBSERVED LEAVING BAY IMMEDIATELY.
1081,LATE RELEASE GROUP. PLANTED INTO CHAMBERS BAY BELOW FISH LADDER.
1082,late zero release
1083,later
1094,LENGTH FREQUENCIES PRIOR TO RELEASE;LOOKED GREAT. FLR 164651 CALLED 52 STOCK!
1113,Lostine Acc NPT
1114,Low level frunc detected at release
1115,low salinity 10 ppt@600fpp
1116,low salinity 10ppt@600fpp
1161,Marblemount early release
1162,Marblemount yearlings
1163,Marked at Wells Hatchery
1164,"Marking sheet thought it was 1.9 million MM, but this was incorect"
1165,mass mark fish 9/21-10/28 at 19.11fpp avg
1166,McAllister release
1167,MID RELEASE CWT GROUP
1168,MIDDLE RELEASE GROUP (CWT# 638276). SCREEN PULLED 5/19/22 AT 8PM. 12.5' HIGH SLACK TIDE AT 9:45 PM. APPROXIMATELY 50% OF FISH GONE BY 5/20/22. 95% OF FISH GONE BY 5/23/22 AM.
1169,MILLICOMA STEP RUMREICH                                        ENGELKING
1170,Mixed/integrated sol duc yearling release
1171,"MM fish at Nestucca R, Nestucca Lower, and Beaver Cr trib"
1172,MORGAN CREEK STEP HATCHERY RELEASE                                     ENGELKING
1173,Mortality was increasing due to external parasites.
1174,Moving Falls Acc from Pelton Ladder Round Butte H.;Related to 618207
1175,N.F. early release
1176,N.F. yearlings
1177,narrows release from minter
1178,"NATURAL PRODUCED RELEASE,ASSOC WITH 093656 M023;4 RELEASES SIZE 250 TO 20F/LB"
