"","tag_code","run_year","recovery_date","fishery","number_cwt_estimated","related_group_id","run","brood_year","cwt_total","recovery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","recovery_location_code","hatchery_location_name","hatchery_location_code","first_release_date","release_stage","comments","avg_length","avg_weight","recovery_rmis_region","release_year"
"43","210964",2013,20131011,10,3.85,"",2,2010,183267,"AK M 1 NW 183-10","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW183^10","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110607,"","BO=MIXED(HxW)",68,4.12,"SEAK",2011
"44","635769",2013,20131016,10,3.85,"",1,2010,251810,"AK M 1 NW 113-41","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW113^41","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110613,"","",78,5.74,"SEAK",2011
"45","635775",2013,20131017,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"46","210962",2013,20130706,10,3.27,"172011Q0001",3,2010,220485,"AK M 1 NW 113","QUINAULT R   21.0398","WA","NWC","QEQU","1M1NW113","QUINAULT LK HATCHERY","3F21702^^210398^H",20110731,"S","ASSOCIATED TO 210961",NA,27.7,"SEAK",2011
"47","635764",2013,20130619,11,2.08,"04201100000621",3,2010,200099,"AK M 1 NW 113-30","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^30","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"48","635979",2013,20130706,10,3.27,"",8,2010,279128,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"49","635594",2013,20130703,10,2.39,"",3,2010,90969,"AK M 1 SW 104-40","KALAMA R     27.0002","WA","LOCR","LEWI","1M1SW104^40","KALAMA FALLS HATCHERY","3F42001^^270002^H",20110630,"","BO=MIXED(HxW)",77,5.62,"SEAK",2011
"50","635978",2013,20131111,10,3.85,"",8,2010,182195,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"51","210958",2013,20131204,10,1.41,"",2,2010,175422,"AK M 1 SW 103-60","STILLAGUAMISH R -NF","WA","NPS","STIL","1M1SW103^60","WHITEHORSE POND","3F10308^^050254AH",20110408,"G","",NA,4.54,"SEAK",2011
"52","210962",2013,20130619,11,1.34,"172011Q0001",3,2010,220485,"AK M 1 NE 109-62","QUINAULT R   21.0398","WA","NWC","QEQU","1M1NE109^62","QUINAULT LK HATCHERY","3F21702^^210398^H",20110731,"S","ASSOCIATED TO 210961",NA,27.7,"SEAK",2011
"53","220117",2013,20131110,10,3.85,"",8,2010,100622,"AK M 1 NW 113-41","LYONS FERRY HATCHERY","WA","SNAK","CLEA","1M1NW113^41","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110525,"P","",93,9,"SEAK",2011
"54","635766",2013,20131110,10,3.85,"04201100000621",3,2010,204091,"AK M 1 NW 113-41","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^41","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110619,"","BO=MIXED(HxW)",92,9.81,"SEAK",2011
"55","635775",2013,20131108,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"56","635775",2013,20131110,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"57","635597",2013,20131110,10,3.85,"",3,2010,94161,"AK M 1 NW 113-41","KALAMA R     27.0002","WA","LOCR","LEWI","1M1NW113^41","FALLERT CR HATCHERY","3F42001^^270017^H",20110704,"","BO=MIXED(HxW)",NA,5.81,"SEAK",2011
"58","635764",2013,20130706,10,0,"04201100000621",3,2010,200099,"AK M 1 NW 157","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW157","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"59","210963",2013,20131111,10,3.85,"142011suq1",3,2010,198276,"AK M 1 NW 113-41","GROVERS CR   15.0299","WA","MPS","EKPN","1M1NW113^41","GROVERS CR HATCHERY","3F10510^^150299^H",20110520,"G","",NA,6.98,"SEAK",2011
"60","635775",2013,20131111,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"61","635998",2013,20131111,10,3.85,"",3,2010,200785,"AK M 1 NW 113-41","SNAKE R-LOWR 33.0002","WA","SNAK","LOSN","1M1NW113^41","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110601,"","BO=MIXED(HxW)",91,9.07,"SEAK",2011
"62","635998",2013,20131108,10,3.85,"",3,2010,200785,"AK M 1 NW 113-41","SNAKE R-LOWR 33.0002","WA","SNAK","LOSN","1M1NW113^41","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110601,"","BO=MIXED(HxW)",91,9.07,"SEAK",2011
"63","635594",2013,20131108,10,3.85,"",3,2010,90969,"AK M 1 NW 113-41","KALAMA R     27.0002","WA","LOCR","LEWI","1M1NW113^41","KALAMA FALLS HATCHERY","3F42001^^270002^H",20110630,"","BO=MIXED(HxW)",77,5.62,"SEAK",2011
"64","635970",2013,20131124,10,3.85,"04201100000621",3,2010,199600,"AK M 1 NW 113-41","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^41","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"65","635699",2013,20131025,10,3.85,"04201100000621",3,2010,204091,"AK M 1 NW 113-41","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^41","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"66","635775",2013,20131026,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"67","210964",2013,20131107,10,3.85,"",2,2010,183267,"AK M 1 NW 113-41","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW113^41","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110607,"","BO=MIXED(HxW)",68,4.12,"SEAK",2011
"68","635769",2013,20131012,10,3.85,"",1,2010,251810,"AK M 1 NW 113-41","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW113^41","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110613,"","",78,5.74,"SEAK",2011
"69","210964",2013,20131012,10,3.85,"",2,2010,183267,"AK M 1 NW 113-41","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW113^41","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110607,"","BO=MIXED(HxW)",68,4.12,"SEAK",2011
"70","635978",2013,20131106,10,3.85,"",8,2010,182195,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"71","210963",2013,20131107,10,3.85,"142011suq1",3,2010,198276,"AK M 1 NW 113-41","GROVERS CR   15.0299","WA","MPS","EKPN","1M1NW113^41","GROVERS CR HATCHERY","3F10510^^150299^H",20110520,"G","",NA,6.98,"SEAK",2011
"72","635978",2013,20131012,10,3.85,"",8,2010,182195,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"73","210950",2013,20131012,10,3.85,"142010tulalip1",2,2010,111509,"AK M 1 NW 113-41","WALLACE R    07.0940","WA","NPS","SNOH","1M1NW113^41","BERNIE GOBIN HATCH","3F10308^^070001^H",20110525,"G","100% OTOLITH MARKED",NA,6.57,"SEAK",2011
"74","210963",2013,20131209,10,1.73,"142011suq1",3,2010,198276,"AK M 1 SE 108-50","GROVERS CR   15.0299","WA","MPS","EKPN","1M1SE108^50","GROVERS CR HATCHERY","3F10510^^150299^H",20110520,"G","",NA,6.98,"SEAK",2011
"75","635997",2013,20130511,10,3.22,"",3,2010,201916,"SWTR         H023-741","SNAKE R-LOWR 33.0002","WA","SNAK","GRIA","2MS02H023^^^^^^^741","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110602,"","BO=MIXED(HxW)",92,9.25,"WCVI",2011
"76","635772",2013,20130511,10,3.22,"",1,2010,224794,"SWTR         H023-741","WHITE R      10.0031","WA","SPS","EKPS","2MS02H023^^^^^^^741","MINTER CR HATCHERY","3F10513^^150048^H",20110607,"","BO=MIXED(HxW)",91,9.25,"WCVI",2011
"77","635971",2013,20130511,10,3.22,"04201100000622",3,2010,204590,"SWTR         H023-741","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^741","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110619,"","BO=MIXED(HxW)",92,9.81,"WCVI",2011
"78","635768",2013,20130511,10,3.22,"04201100000258",3,2010,219306,"SWTR         H023-744","GEORGE ADAMS (PURDY)","WA","HOOD","SKDO","2MS02H023^^^^^^^744","GEORGE ADAMS HATCHERY","3F10412^^160005^H",20110517,"","BO=MIXED(HxW)",83,6.67,"WCVI",2011
"79","635692",2013,20130511,10,3.22,"142011nisqch",3,2010,202655,"SWTR         H023-742","CLEAR CR    11.0013C","WA","SPS","NISQ","2MS02H023^^^^^^^742","CLEAR CREEK HATCHERY","3F10513^^110013CH",20110601,"G","",NA,8.25,"WCVI",2011
"80","635699",2013,20130511,10,3.22,"04201100000621",3,2010,204091,"SWTR         H023-742","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^742","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"WCVI",2011
